Customer ID,Recency,Frequency,Monetary,Cluster
12346.0,326,12,79660.91000000003,0
12347.0,2,8,11625.54,1
12348.0,75,5,7512.219999999998,1
12349.0,19,4,14168.23,1
12350.0,310,1,504.29999999999995,2
12351.0,375,1,761.0500000000001,2
12352.0,36,10,20735.63,1
12353.0,204,2,655.3799999999999,1
12354.0,232,1,6851.49,1
12355.0,214,2,9327.06,1
12356.0,23,6,8893.359999999999,1
12357.0,33,3,28982.550000000003,1
12358.0,2,5,8222.150000000001,1
12359.0,58,10,23193.46,1
12360.0,52,8,7439.22,1
12361.0,287,4,3762.35,2
12362.0,3,11,15632.349999999999,1
12363.0,110,2,1111.77,1
12364.0,8,4,1559.74,1
12365.0,291,2,641.3799999999999,2
12366.0,634,1,500.24,2
12367.0,4,1,168.89999999999998,1
12368.0,628,1,1759.7500000000002,2
12369.0,413,3,2815.4999999999995,2
12370.0,51,7,7800.8099999999995,1
12371.0,45,5,6358.56,1
12372.0,72,3,2447.75,1
12373.0,311,3,2824.7,2
12374.0,25,4,6131.060000000001,1
12375.0,11,2,791.9699999999999,1
12376.0,390,2,802.3,2
12377.0,315,4,4330.02,2
12378.0,130,2,21290.740000000005,1
12379.0,82,4,2810.2599999999998,1
12380.0,22,11,24680.84,1
12381.0,5,5,4636.489999999999,1
12383.0,185,5,3618.2,1
12384.0,29,2,4891.82,1
12385.0,379,1,2758.8,2
12386.0,338,2,1002.2599999999999,2
12387.0,415,1,143.94,2
12388.0,16,8,6734.76,1
12389.0,403,3,4274.46,2
12390.0,80,1,1781.7100000000003,1
12391.0,22,6,6778.73,1
12392.0,591,1,234.75000000000003,2
12393.0,72,6,12466.15,1
12394.0,64,2,1789.71,1
12395.0,19,15,11037.23,1
12396.0,674,1,2384.1,2
12397.0,36,2,4507.450000000001,1
12398.0,46,1,4324.99,1
12399.0,119,7,3427.99,1
12400.0,414,1,205.25,2
12401.0,303,1,254.64999999999998,2
12402.0,323,6,2525.7999999999997,2
12403.0,50,2,2606.19,1
12404.0,682,1,189.72,2
12405.0,149,1,4050.1600000000008,1
12406.0,22,5,10015.85,1
12407.0,50,5,4041.0600000000004,1
12408.0,33,8,11936.39,1
12409.0,79,7,31303.139999999996,1
12410.0,309,3,3639.5099999999998,2
12411.0,410,1,1056.15,2
12412.0,75,6,12737.400000000001,1
12413.0,67,4,2525.1699999999996,1
12414.0,217,6,7810.849999999999,1
12415.0,24,28,158658.72999999998,0
12416.0,657,1,461.29999999999995,2
12417.0,3,20,31796.04,1
12418.0,113,4,6123.41,1
12419.0,386,2,2414.7799999999997,2
12420.0,64,1,1646.6099999999997,1
12421.0,16,6,4054.3399999999997,1
12422.0,96,17,18399.56,1
12423.0,1,10,9666.25,1
12424.0,163,4,5094.590000000001,1
12425.0,78,2,2089.9100000000008,1
12426.0,195,2,2542.48,1
12427.0,22,3,2449.46,1
12428.0,26,9,19819.39,1
12429.0,9,8,11300.07,1
12430.0,43,1,1497.82,1
12431.0,36,27,28922.47,0
12432.0,43,5,10951.3,1
12433.0,1,10,27061.380000000005,1
12434.0,85,3,2597.1,1
12435.0,80,6,17092.53,1
12436.0,100,1,509.01000000000005,1
12437.0,2,39,26875.190000000002,0
12438.0,14,2,4609.58,1
12439.0,683,2,3791.15,2
12440.0,462,2,2297.7999999999997,2
12441.0,367,1,1378.73,2
12442.0,3,1,172.06,1
12443.0,732,1,485.31,2
12444.0,21,5,19847.05,1
12445.0,22,2,2210.34,1
12446.0,58,1,1802.91,1
12447.0,243,1,476.49,1
12448.0,44,1,2106.6399999999994,1
12449.0,22,6,13993.47,1
12450.0,156,5,1674.0600000000002,1
12451.0,11,8,21924.089999999997,1
12452.0,17,2,1005.34,1
12453.0,134,1,2080.3400000000006,1
12454.0,56,5,22005.77,1
12455.0,73,10,11136.619999999999,1
12456.0,44,3,9714.21,1
12457.0,66,8,8127.739999999999,1
12458.0,71,4,3438.42,1
12459.0,605,1,1570.48,2
12460.0,456,1,796.2199999999999,2
12461.0,94,2,975.96,1
12462.0,19,2,2805.0899999999997,1
12463.0,53,4,2978.38,1
12464.0,10,8,7187.85,1
12465.0,17,2,1179.43,1
12466.0,682,1,113.46,2
12467.0,423,1,282.36,2
12468.0,188,5,9621.77,1
12469.0,523,2,3645.8900000000003,2
12470.0,690,1,211.95,2
